original_url,redirected_url,is_redirected,page_size
https://en.wikipedia.org/wiki/Hydrogen,https://en.wikipedia.org/wiki/Hydrogen,False,131613
https://en.wikipedia.org/wiki/Cattle,https://en.wikipedia.org/wiki/Cattle,False,101942
https://en.wikipedia.org/wiki/Livestock%27s_Long_Shadow,https://en.wikipedia.org/wiki/Livestock%27s_Long_Shadow,False,16057
https://en.wikipedia.org/wiki/Syukuro_Manabe,https://en.wikipedia.org/wiki/Syukuro_Manabe,False,23951
https://en.wikipedia.org/wiki/Mire,https://en.wikipedia.org/wiki/Peatland,True,62605
https://en.wikipedia.org/wiki/Antarctica,https://en.wikipedia.org/wiki/Antarctica,False,153016
https://en.wikipedia.org/wiki/Cloud,https://en.wikipedia.org/wiki/Cloud,False,126982
https://en.wikipedia.org/wiki/Tropical_cyclone,https://en.wikipedia.org/wiki/Tropical_cyclone,False,229881
https://en.wikipedia.org/wiki/Joseph_Fourier,https://en.wikipedia.org/wiki/Joseph_Fourier,False,24131
https://en.wikipedia.org/wiki/Carbon_dioxide_in_Earth%27s_atmosphere,https://en.wikipedia.org/wiki/Carbon%20dioxide%20in%20the%20atmosphere%20of%20Earth,True,82755
https://en.wikipedia.org/wiki/Greta_Thunberg,https://en.wikipedia.org/wiki/Greta_Thunberg,False,272897
https://en.wikipedia.org/wiki/Carbon_dioxide,https://en.wikipedia.org/wiki/Carbon_dioxide,False,114827
https://en.wikipedia.org/wiki/Atmosphere_of_Earth,https://en.wikipedia.org/wiki/Atmosphere_of_Earth,False,93629
https://en.wikipedia.org/wiki/Ammonia,https://en.wikipedia.org/wiki/Ammonia,False,143997
https://en.wikipedia.org/wiki/Rice,https://en.wikipedia.org/wiki/Rice,False,96982
https://en.wikipedia.org/wiki/Mohenjo-daro,https://en.wikipedia.org/wiki/Mohenjo-daro,False,43186
https://en.wikipedia.org/wiki/El_Ni%C3%B1o,https://en.wikipedia.org/wiki/El%20Ni%C3%B1o%E2%80%93Southern%20Oscillation,True,194459
https://en.wikipedia.org/wiki/Climate_change,https://en.wikipedia.org/wiki/Climate_change,False,331984
https://en.wikipedia.org/wiki/Natural_disaster,https://en.wikipedia.org/wiki/Natural_disaster,False,65115
https://en.wikipedia.org/wiki/Flood,https://en.wikipedia.org/wiki/Flood,False,66965
https://en.wikipedia.org/wiki/Electric_energy_consumption,https://en.wikipedia.org/wiki/Electric_energy_consumption,False,28336
https://en.wikipedia.org/wiki/Polar_bear,https://en.wikipedia.org/wiki/Polar_bear,False,100119
https://en.wikipedia.org/wiki/Cheese,https://en.wikipedia.org/wiki/Cheese,False,65422
https://en.wikipedia.org/wiki/Agriculture,https://en.wikipedia.org/wiki/Agriculture,False,195707
https://en.wikipedia.org/wiki/Irrigation,https://en.wikipedia.org/wiki/Irrigation,False,83470
https://en.wikipedia.org/wiki/Ice_age,https://en.wikipedia.org/wiki/Ice_age,False,93364
https://en.wikipedia.org/wiki/Climatology,https://en.wikipedia.org/wiki/Climatology,False,26981
https://en.wikipedia.org/wiki/Cycling_infrastructure,https://en.wikipedia.org/wiki/Cycling_infrastructure,False,82318
https://en.wikipedia.org/wiki/Renewable_energy,https://en.wikipedia.org/wiki/Renewable_energy,False,191437
https://en.wikipedia.org/wiki/Fossil_fuel,https://en.wikipedia.org/wiki/Fossil_fuel,False,47104
https://en.wikipedia.org/wiki/The_Day_After_Tomorrow,https://en.wikipedia.org/wiki/The_Day_After_Tomorrow,False,35526
https://en.wikipedia.org/wiki/Joseph_Stiglitz,https://en.wikipedia.org/wiki/Joseph_Stiglitz,False,146577
https://en.wikipedia.org/wiki/Biomass,https://en.wikipedia.org/wiki/Biomass,False,7837
